timestep,reward
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.9485666155815125
10.0,1.897133231163025
11.0,2.8456998467445374
12.0,3.79426646232605
13.0,3.79426646232605
14.0,4.742833077907562
15.0,4.742833077907562
16.0,5.691399693489075
17.0,6.639966309070587
18.0,8.537099540233612
19.0,10.434232771396637
20.0,10.434232771396637
21.0,10.434232771396637
22.0,9.485666155815125
23.0,8.537099540233612
24.0,8.537099540233612
25.0,8.537099540233612
26.0,9.485666155815125
27.0,9.485666155815125
28.0,10.434232771396637
29.0,10.434232771396637
30.0,11.38279938697815
31.0,12.331366002559662
32.0,15.1770658493042
33.0,18.97133231163025
34.0,23.71416538953781
35.0,27.50843185186386
36.0,31.30269831418991
37.0,35.09696477651596
38.0,37.9426646232605
39.0,39.83979785442352
40.0,42.68549770116806
41.0,43.63406431674957
42.0,45.5311975479126
43.0,46.47976416349411
44.0,47.42833077907562
45.0,47.42833077907562
46.0,47.42833077907562
47.0,48.376897394657135
48.0,50.27403062582016
49.0,53.1197304725647
50.0,55.965430319309235
51.0,59.759696781635284
52.0,63.553963243961334
53.0,67.34822970628738
54.0,70.19392955303192
55.0,74.93676263093948
56.0,78.73102909326553
57.0,84.42242878675461
58.0,91.0623950958252
59.0,94.85666155815125
60.0,100.54806125164032
61.0,106.2394609451294
62.0,112.87942725419998
63.0,118.57082694768906
64.0,124.26222664117813
65.0,129.9536263346672
66.0,138.49072581529617
67.0,147.02782529592514
68.0,156.51349133253098
69.0,167.89629048109055
70.0,179.27908962965012
71.0,192.559022128582
72.0,204.89038795232773
73.0,217.22175377607346
74.0,229.55311959981918
75.0,242.83305209875107
76.0,255.1644179224968
77.0,261.80438417196274
78.0,271.2900502085686
79.0,278.8785831332207
80.0,286.4671160578728
81.0,292.15851575136185
82.0,297.8499154448509
83.0,303.54131513834
84.0,309.23271483182907
85.0,314.92411452531815
86.0,319.6669476032257
87.0,325.3583472967148
88.0,331.04974699020386
89.0,337.68971329927444
90.0,344.32967960834503
91.0,352.866779088974
